Organic chemistry,3,20,0,2596,
Acetal,25,31,0,2596,
Functional group,37,53,0,2596,
R groups,97,105,1,2596,
Organic fragments,113,130,1,2596,
Organic fragments,233,250,1,2596,
Symmetric acetal,319,335,2,2596,
Mixed acetal,349,361,2,2596,
Acetals,365,372,3,2596,
Aldehydes,408,417,3,2596,
Ketones,421,428,3,2596,
Oxidation state,447,462,3,2596,
Central carbon,470,484,3,2596,
Chemical stability,519,537,3,2596,
Reactivity,542,552,3,2596,
Carbonyl compounds,582,600,3,2596,
Central carbon,606,620,4,2596,
Tetrahedral geometry,683,703,4,2596,
Ketal,715,720,5,2596,
Ketones,778,785,5,2596,
R groups,792,800,5,2596,
Organic fragments,801,818,5,2596,
Aldehydes,853,862,5,2596,
Acetal,891,897,5,2596,
Central carbon,1005,1019,5,2596,
IUPAC,1027,1032,6,2596,
Ketal,1077,1082,6,2596,
Ketal,1175,1180,7,2596,
Acetals,1202,1209,7,2596,
Ketone-derived structures,1258,1283,7,2596,
R groups,1301,1309,9,2596,
Central carbon,1405,1419,9,2596,
Functional group,1426,1442,9,2596,
Orthoester,1457,1467,9,2596,
Organic fragments,1520,1537,10,2596,
Functional group,1568,1584,11,2596,
Hemiacetal,1598,1608,11,2596,
Functional group,1635,1651,11,2596,
Ketone hydrate,1657,1671,11,2596,
Aldehyde hydrate,1675,1691,11,2596,
Acetal,1711,1717,13,2596,
Hydroxyl group,1734,1748,13,2596,
Hemiacetal,1754,1764,13,2596,
Carbocation,1810,1821,14,2596,
Molecule of alcohol,1869,1888,14,2596,
Alcohol,1927,1934,15,2596,
Acetal,1945,1951,15,2596,
Acetals,1956,1963,17,2596,
Hemiacetals,1987,1998,17,2596,
Equilibrium,2035,2046,17,2596,
Esters,2055,2061,17,2596,
Acetal,2090,2096,18,2596,
Reaction mixture,2138,2154,18,2596,
Dean-Stark apparatus,2176,2196,18,2596,
Hydrolyse,2206,2215,18,2596,
Hemiacetal,2240,2250,18,2596,
Acetals,2269,2276,19,2596,
Molecules,2305,2314,19,2596,
Carbonyl,2324,2332,19,2596,
Alcohol,2337,2344,19,2596,
Acetal,2347,2353,19,2596,
Entropy,2421,2428,19,2596,
Diol,2503,2507,20,2596,
Alcohol,2550,2557,20,2596,
Molecules,2558,2567,20,2596,
Carbonyl,2569,2577,20,2596,
Diol,2580,2584,20,2596,
Acetal,2587,2593,20,2596,
