Alkaline earth metals,4,25,0,1096,
Group 2,55,62,0,1096,
Periodic table,70,84,0,1096,
Beryllium (Be),95,109,1,1096,
Magnesium (Mg),111,125,1,1096,
Calcium (Ca),127,139,1,1096,
Strontium (Sr),141,155,1,1096,
Barium (Ba),157,168,1,1096,
Radium (Ra),174,185,1,1096,
Standard temperature and pressure,293,326,2,1096,
Helium,344,350,4,1096,
Outer s orbital,385,400,4,1096,
Alkaline earth metals,495,516,4,1096,
Cations,538,545,4,1096,
Oxidation state,569,584,4,1096,
Helium,592,598,5,1096,
Noble gases,619,630,5,1096,
Alkaline earth metals,648,669,5,1096,
Group 2,801,808,5,1096,
Alkaline earth metals,831,852,7,1096,
Decay chain,910,921,7,1096,
Uranium,925,932,7,1096,
Thorium,937,944,7,1096,
Primordial element,958,976,7,1096,
experiments,994,1005,8,1096,
synthesize,1035,1045,8,1096,
element 120,1046,1057,8,1096,
