Beryllium (Be),is an alkaline earth metal,Alkaline earth metals
Magnesium (Mg),is an alkaline earth metal,Alkaline earth metals
Calcium (Ca),is an alkaline earth metal,Alkaline earth metals
Strontium (Sr),is an alkaline earth metal,Alkaline earth metals
Barium (Ba),is an alkaline earth metal,Alkaline earth metals
Radium (Ra),is an alkaline earth metal,Alkaline earth metals
Helium,has similarities to,Beryllium (Be)
Uranium,decays into,Radium (Ra)
Thorium,decays into,Radium (Ra)
Alkaline earth metals,have in common,Outer s orbital
Alkaline earth metals,readily lose electrons to form,Cations
Noble gases,include,Helium
