Alkene,25,31,0,1694,
Olefin,36,42,0,1694,
Hydrocarbon,49,60,0,1694,
Carbon-carbon double bond,74,99,0,1694,
Terminal alkenes,162,178,2,1694,
Olefins,199,206,2,1694,
International Union of Pure and Applied Chemistry (IUPAC),213,270,3,1694,
Alkene,298,304,3,1694,
Acyclic hydrocarbons,315,335,3,1694,
Alkadiene,363,372,3,1694,
Alkatriene,374,384,3,1694,
Polyene,395,402,3,1694,
Acyclic hydrocarbons,407,427,3,1694,
Double bonds,445,457,3,1694,
Cycloalkene,459,470,3,1694,
Cycloalkadiene,472,486,3,1694,
Olefin,515,521,3,1694,
Double bonds,583,595,3,1694,
Cyclic alkenes,600,614,5,1694,
Functional groups,655,672,5,1694,
Mono-enes,688,697,5,1694,
Homologous series,706,723,5,1694,
Hydrocarbons,727,739,5,1694,
Natural number,789,803,5,1694,
Isomers,889,896,6,1694,
Conformation,945,957,6,1694,
Alkenes,980,987,8,1694,
Non-polar compounds,1012,1031,8,1694,
Alkanes,1053,1060,8,1694,
Room temperature,1140,1156,9,1694,
Alkene,1172,1178,10,1694,
Ethylene,1180,1188,10,1694,
Ethene,1201,1207,10,1694,
IUPAC nomenclature,1216,1234,10,1694,
Organic compound,1243,1259,10,1694,
Aromatic compounds,1305,1323,11,1694,
Cyclic alkenes,1343,1357,11,1694,
Alkenes,1456,1463,11,1694,
Olefins,1467,1474,11,1694,
Hydrocarbons,1476,1488,12,1694,
Double bonds,1510,1522,12,1694,
Allenes,1542,1549,12,1694,
Cumulenes,1688,1697,12,1694,
