Amide,is also known as,Carboxamide
Amide,is also known as,Organic amide
Isopeptide bond,occurs in,Side chain
Amine subgroup,has the form,-NH2
N-chloroacetamide,is an example of,Amides
Dimethylformamide,is an example of,Amides
Formamide,is an example of,Amides
Benzamide,is an example of,Amides
Chloroformamide,is an example of,Amides
Acetamide,is an example of,Amides
Hydroxyl group,is replaced by,Amine group
Glutamine,contains an,Isopeptide bond
Asparagine,contains an,Isopeptide bond
