Benzene,is composed of,carbon atoms
Carbon atoms,joined in,hexagonal ring
Hydrogen atom,attached to,carbon atoms
Benzene,classed as,hydrocarbon
Benzene,due to,cyclic continuous pi bonds
Cyclic continuous pi bonds,between,carbon atoms
Benzene,is a,volatile organic compound
Benzene,classified as,carcinogen
Carcinogen,may cause,leukemia
Accidental exposure,has long-term results on,human health
Petroleum,contains,benzene
Petrochemicals,include,benzene
Ethylbenzene,is manufactured from,benzene
Cumene,is manufactured from,benzene
