Borino,0,6,0,663,
Bulgaria,8,16,0,663,
Borino,19,25,0,663,
Smolyan Province,63,79,0,663,
Bulgaria,92,100,0,663,
Borino,137,143,1,663,
Borino,160,166,3,663,
Western Rhodope Mountains,198,223,3,663,
Altitude,231,239,3,663,
Metres,249,255,3,663,
Turks,317,322,4,663,
Bulgarians,324,334,4,663,
Muslim Bulgarians,336,353,4,663,
Roma,359,363,4,663,
Municipal center,370,386,5,663,
Borino,388,394,5,663,
Yagodina,420,428,5,663,
Chala,430,435,5,663,
Kozhari,437,444,5,663,
Buinovo,450,457,5,663,
Yagodinska Cave,494,509,6,663,
Devil's Throat Cave,511,530,6,663,
Trigrad Gorge,532,545,6,663,
Buynovo Gorge,551,564,6,663,
Devil's Bridge,570,584,6,663,
The Old Roman Bridge - Kemera,586,615,6,663,
Videnitsa Peak,617,631,6,663,
Kastrakli Nature Reserve,641,665,6,663,
