Chlorine,is an,oxidising agent
Chlorine,has the highest,electron affinity
Chlorine,has the third-highest,electronegativity
Aqua regia,contains,chlorine
Hydrogen chloride,contains,chlorine
Mercury(II) chloride,contains,chlorine
Corrosive sublimate,is also known as,mercury(II) chloride
Chloralkali process,involves the production of,elemental chlorine
Polyvinyl chloride (PVC),is an example of,organic chemicals
Chlorine-generating compounds,are used in,swimming pools
Neutrophils,generate small quantities of,elemental chlorine
Chloride ions,are necessary for,species of life
Living organisms,require,chloride ions
