Fluorine,0,8,0,2325,
Chemical element,14,30,0,2325,
Atomic number,52,65,0,2325,
Halogen,88,95,1,2325,
Standard conditions,110,129,1,2325,
Diatomic gas,145,157,1,2325,
Fluorine,159,167,2,2325,
Inert gases,248,259,2,2325,
Fluorine,303,311,5,2325,
Universal abundance,326,345,5,2325,
Terrestrial abundance,358,379,5,2325,
Fluorite,381,389,6,2325,
Mineral source,403,417,6,2325,
Fluorine,421,429,6,2325,
Metal ores,512,522,6,2325,
Melting points,538,552,6,2325,
Smelting,557,565,6,2325,
Fluorine,664,672,7,2325,
Fluorine,880,888,8,2325,
Low-temperature electrolysis,895,923,8,2325,
Fluorine gas,998,1010,9,2325,
Uranium enrichment,1015,1033,9,2325,
Manhattan Project,1077,1094,9,2325,
World War II,1098,1110,9,2325,
Fluorine,1152,1160,11,2325,
Fluorine,1195,1203,11,2325,
Fluorite,1240,1248,11,2325,
Steelmaking,1257,1268,11,2325,
Fluorite,1286,1294,12,2325,
Hydrogen fluoride,1313,1330,12,2325,
Organic fluorides,1351,1368,12,2325,
Cryolite,1378,1386,12,2325,
Aluminium refining,1414,1432,12,2325,
Carbon-fluorine bond,1438,1458,13,2325,
Organofluorine compounds,1483,1507,14,2325,
Refrigerants,1527,1539,14,2325,
Electrical insulation,1541,1562,14,2325,
PTFE (Teflon),1568,1581,14,2325,
Pharmaceuticals,1583,1598,15,2325,
Atorvastatin,1607,1619,15,2325,
Fluoxetine,1624,1634,15,2325,
C-F bonds,1643,1652,15,2325,
Fluoride ion,1658,1670,16,2325,
Fluoride salts,1686,1700,16,2325,
Dental cavities,1710,1725,16,2325,
Toothpaste,1746,1756,16,2325,
Water fluoridation,1761,1779,16,2325,
Fluorocarbon gases,1853,1871,19,2325,
Greenhouse gases,1886,1902,19,2325,
Global-warming potentials,1908,1933,19,2325,
Carbon dioxide,1962,1976,19,2325,
SF6,1982,1985,19,2325,
Organofluorine compounds,2051,2075,20,2325,
Carbon-fluorine bond,2136,2156,20,2325,
Fluorine,2158,2166,21,2325,
Metabolic role,2180,2194,21,2325,
Mammals,2198,2205,21,2325,
Marine sponges,2224,2238,21,2325,
Fluorine,2256,2264,21,2325,
Monofluoroacetates,2285,2303,21,2325,
Predation,2321,2330,21,2325,
