Haloalkanes,4,15,0,1981,
Halogenoalkanes,31,46,0,1981,
Alkyl halides,50,63,0,1981,
Halogen,100,107,0,1981,
Halocarbons,164,175,1,1981,
Haloalkanes,221,232,2,1981,
Flame retardants,280,296,3,1981,
Fire extinguishants,298,317,3,1981,
Refrigerants,319,331,3,1981,
Propellants,333,344,3,1981,
Solvents,346,354,3,1981,
Pharmaceuticals,360,375,3,1981,
Halocarbons,428,439,4,1981,
Chlorofluorocarbons,515,534,5,1981,
Ozone depletion,562,577,5,1981,
Methyl bromide,579,593,6,1981,
Fumigant,613,621,6,1981,
Haloalkanes,628,639,7,1981,
Ozone layer,703,714,7,1981,
Haloalkanes,741,752,7,1981,
Greenhouse gases,784,800,7,1981,
Methyl iodide,802,815,8,1981,
United States Environmental Protection Agency,908,953,8,1981,
Ozone layer,988,999,8,1981,
Halomethane,1036,1047,9,1981,
Haloalkane,1049,1059,10,1981,
Alkyl halides,1063,1076,10,1981,
General formula,1110,1125,10,1981,
RX,1127,1129,10,1981,
Substituted alkyl group,1154,1177,10,1981,
Halogen,1189,1196,10,1981,
Haloalkanes,1215,1226,12,1981,
Chloroethane,1258,1270,13,1981,
Organic chemistry,1410,1427,14,1981,
C-halogen bonds,1533,1548,15,1981,
Halogen,1604,1611,16,1981,
Alkenes,1616,1623,16,1981,
Hydrohalogenation,1625,1642,16,1981,
Alkenes,1646,1653,16,1981,
Alcohols,1677,1685,16,1981,
Alkyl halides,1689,1702,16,1981,
Haloalkanes,1765,1776,17,1981,
Industrial chemistry,1813,1833,17,1981,
Functional groups,1888,1905,17,1981,
Haloalkanes,1919,1930,18,1981,
Biogenic,1975,1983,18,1981,
