Haloalkanes,are used as,flame retardants
Haloalkanes,are used as,fire extinguishants
Haloalkanes,are used as,refrigerants
Haloalkanes,are used as,propellants
Haloalkanes,are used as,solvents
Haloalkanes,are used as,pharmaceuticals
Chlorofluorocarbons,lead to,ozone depletion
Methyl bromide,is a,fumigant
Halogenoalkanes,are also known as,haloalkanes
Alkyl halides,have the general formula,RX
Halomethane,is related to,haloalkane
Alkenes,undergo,hydrohalogenation
Alcohols,are converted to,alkyl halides
