Iodine,is a,chemical element
Iodine,exists as a,non-metallic solid
Iodine,melts to form a,violet liquid
Iodine,boils to form a,violet gas
Iodide (I-),is an oxidation state of,iodine
Periodate anions,are oxidation states of,iodine
Iodine,is required for the synthesis of,thyroid hormones
Thyroid hormones,are synthesized with the help of,iodine
Iodine,is used as a,catalyst
Acetic acid,is produced industrially with the help of,iodine
Polymers,are produced industrially with the help of,iodine
Iodine,is on the,List of Essential Medicines
