Hydrogen,is element No. 1,H
Helium,is element No. 2,He
Lithium,is element No. 3,Li
Beryllium,is element No. 4,Be
Boron,is element No. 5,B
Carbon,is element No. 6,C
Nitrogen,is element No. 7,N
Oxygen,is element No. 8,O
Fluorine,is element No. 9,F
Neon,is element No. 10,Ne
Sodium,is element No. 11,Na
Magnesium,is element No. 12,Mg
Silicon,is element No. 14,Si
Phosphorus,is element No. 15,P
Sulfur,is element No. 16,S
Chlorine,is element No. 17,Cl
Argon,is element No. 18,Ar
Potassium,is element No. 19,K
Calcium,is element No. 20,Ca
Scandium,is element No. 21,Sc
Titanium,is element No. 22,Ti
Vanadium,is element No. 23,V
Chromium,is element No. 24,Cr
Manganese,is element No. 25,Mn
Iron,is element No. 26,Fe
Cobalt,is element No. 27,Co
Nickel,is element No. 28,Ni
Copper,is element No. 29,Cu
Zinc,is element No. 30,Zn
Gallium,is element No. 31,Ga
Germanium,is element No. 32,Ge
Arsenic,is element No. 33,As
Selenium,is element No. 34,Se
Bromine,is element No. 35,Br
Krypton,is element No. 36,Kr
Strontium,is element No. 38,Sr
Rhodium,is element No. 45,Rh
Silver,is element No. 47,Ag
Cadmium,is element No. 48,Cd
Indium,is element No. 49,In
Tin,is element No. 50,Sn
Antimony,is element No. 51,Sb
Tellurium,is element No. 52,Te
Iodine,is element No. 53,I
Xenon,is element No. 54,Xe
Barium,is element No. 56,Ba
Lanthanum,is element No. 57,La
Cerium,is element No. 58,Ce
Praseodymium,is element No. 59,Pr
Neodymium,is element No. 60,Nd
Promethium,is element No. 61,Pm
Samarium,is element No. 62,Sm
Europium,is element No. 63,Eu
Gadolinium,is element No. 64,Gd
Terbium,is element No. 65,Tb
Dysprosium,is element No. 66,Dy
Holmium,is element No. 67,Ho
Erbium,is element No. 68,Er
Thulium,is element No. 69,Tm
Ytterbium,is element No. 70,Yb
Lutetium,is element No. 71,Lu
Hafnium,is element No. 72,Hf
Tantalum,is element No. 73,Ta
Tungsten,is element No. 74,W
Rhenium,is element No. 75,Re
Osmium,is element No. 76,Os
Iridium,is element No. 77,Ir
Platinum,is element No. 78,Pt
Gold,is element No. 79,Au
Mercury,is element No. 80,Hg
Thallium,is element No. 81,Tl
Lead,is element No. 82,Pb
Bismuth,is element No. 83,Bi
Polonium,is element No. 84,Po
Astatine,is element No. 85,At
Radon,is element No. 86,Rn
Francium,is element No. 87,Fr
Radium,is element No. 88,Ra
Actinium,is element No. 89,Ac
Thorium,is element No. 90,Th
Protactinium,is element No. 91,Pa
Uranium,is element No. 92,U
Neptunium,is element No. 93,Np
Plutonium,is element No. 94,Pu
Americium,is element No. 95,Am
Curium,is element No. 96,Cm
Berkelium,is element No. 97,Bk
Californium,is element No. 98,Cf
Einsteinium,is element No. 99,Es
Fermium,is element No. 100,Fm
Mendelevium,is element No. 101,Md
Nobelium,is element No. 102,No
Lawrencium,is element No. 103,Lr
Rutherfordium,is element No. 104,Rf
Dubnium,is element No. 105,Db
Seaborgium,is element No. 106,Sg
Bohrium,is element No. 107,Bh
Hassium,is element No. 108,Hs
Meitnerium,is element No. 109,Mt
Darmstadtium,is element No. 110,Ds
Roentgenium,is element No. 111,Rg
Copernicium,is element No. 112,Cn
Nihonium,is element No. 113,Nh
Flerovium,is element No. 114,Fl
Moscovium,is element No. 115,Mc
Livermorium,is element No. 116,Lv
Tennessine,is element No. 117,Ts
Oganesson,is element No. 118,Og
