Metalloids,have properties of,Metals
Metalloids,have properties of,Nonmetals
Boron,is classified as,Metalloid
Silicon,is classified as,Metalloid
Germanium,is classified as,Metalloid
Arsenic,is classified as,Metalloid
Antimony,is classified as,Metalloid
Tellurium,is classified as,Metalloid
Carbon,may be classified as,Metalloid
Aluminium,may be classified as,Metalloid
Selenium,may be classified as,Metalloid
Polonium,may be classified as,Metalloid
Astatine,may be classified as,Metalloid
Metalloids,are found in,p-block
Metalloids,have a,Metallic appearance
Metalloids,can form,Alloys
Metalloids,are fair,Conductors of electricity
Semimetals,is another term for,Metalloids
