Methylenedioxy,is found attached to,Aromatic structure
Cytochrome P450 superfamily,includes,Enzymes
Ortho-demethylenation,is carried out by,Superfamily
MDPV,belongs to the class of,Pyrrolidinophenones
MDPHP,belongs to the class of,Pyrrolidinophenones
Methylenedioxy,is present in,Safrole
Methylenedioxy,is present in,Tadalafil
Methylenedioxy,is present in,MDMA
Methylenedioxy,is present in,Paroxetine
Methylenedioxy,is present in,Piperonyl butoxide
Canadine,is formed by,Enzymes
Berberine,is formed by,Enzymes
MDA,undergoes,Ortho-demethylenation
MDMA,undergoes,Ortho-demethylenation
