Noble gases,4,15,0,2265,
Inert gases,34,45,0,2265,
Aerogens,72,80,0,2265,
Group 18,121,129,0,2265,
Periodic table,137,151,0,2265,
Helium (He),153,164,0,2265,
Neon (Ne),166,175,0,2265,
Argon (Ar),177,187,0,2265,
Krypton (Kr),189,201,0,2265,
Xenon (Xe),203,213,0,2265,
Radon (Rn),219,229,0,2265,
Standard conditions,237,256,1,2265,
Monatomic gases,298,313,1,2265,
Chemical reactivity,328,347,1,2265,
Cryogenic boiling points,352,376,1,2265,
Noble gases,384,395,3,2265,
Electron configuration,484,506,3,2265,
Outer shell,514,525,3,2265,
Valence electrons,529,546,3,2265,
Noble gas,643,652,4,2265,
Noble gas,704,713,5,2265,
Intermolecular force,744,764,5,2265,
London dispersion force,795,818,5,2265,
Boiling points,829,843,5,2265,
Noble gases,918,929,7,2265,
Argon,1003,1008,8,2265,
Shielding gas,1022,1035,8,2265,
Welding,1039,1046,8,2265,
Filler gas,1056,1066,8,2265,
Incandescent light bulbs,1070,1094,8,2265,
Flammability,1126,1138,9,2265,
Hydrogen,1142,1150,9,2265,
Hindenburg disaster,1174,1193,9,2265,
Hydrogen,1195,1203,9,2265,
Helium,1222,1228,9,2265,
Blimps,1232,1238,9,2265,
Balloons,1243,1251,9,2265,
Helium,1253,1259,10,2265,
Refrigerants,1286,1298,10,2265,
Boiling points,1316,1330,10,2265,
Noble gases,1361,1372,11,2265,
Radon,1385,1390,11,2265,
Liquefaction of gases,1454,1475,11,2265,
Fractional distillation,1480,1503,11,2265,
Helium,1505,1511,12,2265,
Natural gas,1549,1560,12,2265,
Radon,1562,1567,13,2265,
Radioactive decay,1597,1614,13,2265,
Radium,1628,1634,13,2265,
Thorium,1636,1643,13,2265,
Uranium compounds,1648,1665,13,2265,
Group 18,1691,1699,15,2265,
Oganesson (Og),1703,1717,15,2265,
Synthetic element,1731,1748,15,2265,
IUPAC,1883,1888,16,2265,
Noble gas,1904,1913,16,2265,
Group 18,1937,1945,16,2265,
Oganesson,1965,1974,16,2265,
Relativistic effects,1992,2012,16,2265,
Oganesson,2014,2023,16,2265,
Solid,2045,2050,16,2265,
Standard conditions,2057,2076,16,2265,
Reactive,2081,2089,16,2265,
Noble gas,2176,2185,17,2265,
Oganesson,2223,2232,17,2265,
