Periodic table,22,36,0,1403,
Nonmetal,39,47,0,1403,
Chemical element,53,69,0,1403,
Metallic properties,100,119,0,1403,
Colorless gases,137,152,1,1403,
Hydrogen,158,166,1,1403,
Shiny crystals,170,184,1,1403,
Iodine,190,196,1,1403,
Metals,272,278,2,1403,
Conductors,298,308,2,1403,
Heat,312,316,2,1403,
Electricity,321,332,2,1403,
Nonmetals,346,355,3,1403,
Electronegativity,377,394,3,1403,
Chemical bond,429,442,3,1403,
Oxides,475,481,3,1403,
Acidic,493,499,3,1403,
Nonmetals,547,556,5,1403,
Borderline elements,591,610,6,1403,
Metalloids,612,622,6,1403,
Nonmetals,649,658,6,1403,
Nonmetals,679,688,8,1403,
Hydrogen,690,698,8,1403,
Helium,703,709,8,1403,
Mass,745,749,8,1403,
Observable universe,757,776,8,1403,
Nonmetallic elements,783,803,9,1403,
Hydrogen,805,813,9,1403,
Carbon,815,821,9,1403,
Nitrogen,823,831,9,1403,
Oxygen,833,839,9,1403,
Silicon,845,852,9,1403,
Atmosphere,882,892,9,1403,
Biosphere,894,903,9,1403,
Crust,905,910,9,1403,
Oceans,915,921,9,1403,
Industrial uses,924,939,10,1403,
Nonmetals,943,952,10,1403,
Electronics,964,975,10,1403,
Energy storage,977,991,10,1403,
Agriculture,993,1004,10,1403,
Chemical production,1010,1029,10,1403,
Nonmetallic elements,1037,1057,11,1403,
Metals,1134,1140,12,1403,
Minerals,1151,1159,12,1403,
Antiquity,1178,1187,12,1403,
Classification,1197,1211,12,1403,
Chemical elements,1215,1232,12,1403,
Metallic,1236,1244,12,1403,
Nonmetallic,1248,1259,12,1403,
Properties,1323,1333,13,1403,
Criteria,1357,1365,13,1403,
Nonmetals,1385,1394,13,1403,
Metals,1400,1406,13,1403,
