computational chemistry,33,56,0
accessibility,138,151,1
learning curves,213,228,1
large-language models (LLMs),240,268,2
external knowledge sources,408,434,3
scientific applications,465,488,3
ChemCrow,518,526,4
organic synthesis,587,604,4
drug discovery,606,620,4
materials design,626,642,4
expert-designed tools,662,683,5
ChemCrow,685,693,5
insect repellent,830,846,6
organocatalysts,854,869,6
chromophore,907,918,6
ChemCrow,992,1000,7
chemical tasks,1048,1062,7
GPT-4,1091,1096,8
GPT-4,1154,1159,8
ChemCrow,1176,1184,8
computational chemistry,1361,1384,9
